,Route,Point,ARU,Geography,Lat,Long,Year,Date,Protocol,StartTime,CommonName,BirdCd,Survey,Visit,IndivCount,Distance,Confidence,Added
1,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/4/22,ARU,6:03:26,American Bittern,AMBI,1,1,1,NA,0.2236,No
2,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/6/22,ARU,5:38:27,American Bittern,AMBI,1,2,1,NA,0.9241,No
3,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/7/22,ARU,5:15:21,American Bittern,AMBI,1,3,1,NA,0.991,No
4,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/8/22,ARU,5:13:09,American Bittern,AMBI,1,4,1,NA,0.9808,No
5,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/9/22,ARU,5:14:06,American Bittern,AMBI,1,5,1,NA,0.1079,No
6,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/20/22,ARU,7:06:17,American Bittern,AMBI,2,6,0,NA,0.1377,No
7,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/22/22,ARU,7:08:53,American Bittern,AMBI,2,7,0,NA,0.2344,No
8,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/27/22,ARU,5:26:36,American Bittern,AMBI,2,8,0,NA,0.3552,No
9,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/29/22,ARU,5:19:12,American Bittern,AMBI,2,9,0,NA,0.2934,No
10,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,5/30/22,ARU,6:48:26,American Bittern,AMBI,2,10,0,NA,0.2998,No
11,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,6/1/22,ARU,6:19:35,American Bittern,AMBI,3,11,0,NA,0.2448,No
12,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,6/7/22,ARU,6:18:08,American Bittern,AMBI,3,12,0,NA,0.1529,No
13,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,6/9/22,ARU,5:58:51,American Bittern,AMBI,3,13,0,NA,0.2431,No
14,BIGM,BIGM-02,SMA05948BIGM,Central,41.693367,-87.569207,2022,6/11/22,ARU,6:35:47,American Bittern,AMBI,3,14,0,NA,0.1595,No
