Project,TransectName,PointName,Visit,Date,year,StartTime,CommonName,BirdCd,ScientificName,BirdCount,IndivId,DuplicateIndiv,DataStatus
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/10/19,2019,5:05:00,American Bittern,AMBI,Botaurus lentiginosus,1,1,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/1/22,2022,5:16:00,American Bittern,AMBI,Botaurus lentiginosus,1,2,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/1/22,2022,5:16:00,American Bittern,AMBI,Botaurus lentiginosus,1,3,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/1/22,2022,5:16:00,American Bittern,AMBI,Botaurus lentiginosus,1,4,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/27/24,2024,5:07:00,American Bittern,AMBI,Botaurus lentiginosus,1,5,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/7/19,2019,5:05:00,American Coot,AMCO,Fulica americana,2,6,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/24/18,2018,5:51:00,American Coot,AMCO,Fulica americana,1,7,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/7/20,2020,5:08:00,American Coot,AMCO,Fulica americana,1,8,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/27/19,2019,5:01:00,American Coot,AMCO,Fulica americana,1,9,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/7/19,2019,5:05:00,American Coot,AMCO,Fulica americana,1,10,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/10/18,2018,5:08:00,American Coot,AMCO,Fulica americana,1,11,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,2,5/19/22,2022,5:00:00,Common Gallinule,COGA,Gallinula galeata,1,12,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/12/20,2020,4:44:00,Common Gallinule,COGA,Gallinula galeata,1,13,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/11/22,2022,4:45:00,Common Gallinule,COGA,Gallinula galeata,1,14,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/1/22,2022,5:16:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,15,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,3,6/9/24,2024,5:09:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,2,16,,CLEAN
INDIANAMARSHBIRDS,DUPO,DUPO-01,1,5/7/20,2020,5:08:00,Pied-billed Grebe,PBGR,Podilymbus podiceps,1,17,,CLEAN
